schema_version,section,level,dispersion_set,catalog,item,metric,value,units,notes
1.0,abort_reverify,L0,ds-v1,SL-16 / Zenit-2 second stage,,n_events,292.0000,count,"[L0: two-body linear CW, ds-v1]"
1.0,abort_reverify,L0,ds-v1,SL-16 / Zenit-2 second stage,,n_violations,0.0000,count,"[L0: two-body linear CW, ds-v1]"
1.0,abort_reverify,L0,ds-v1,SL-16 / Zenit-2 second stage,,violation_rate,0.000000,fraction,"[L0: two-body linear CW, ds-v1]"
1.0,abort_reverify,L0,ds-v1,SL-16 / Zenit-2 second stage,,wilson_low,0.000000,fraction,"[L0: two-body linear CW, ds-v1]"
1.0,abort_reverify,L0,ds-v1,SL-16 / Zenit-2 second stage,,wilson_high,0.012985,fraction,"[L0: two-body linear CW, ds-v1]"
1.0,abort_reverify,L0,ds-v1,SL-16 / Zenit-2 second stage,,clearance_floor_m,20.0053,m,"[L0: two-body linear CW, ds-v1]"
1.0,abort_reverify,L0,ds-v1,SL-16 / Zenit-2 second stage,,clearance_p05_m,36.3253,m,"[L0: two-body linear CW, ds-v1]"
1.0,abort_reverify,L0,ds-v1,SL-16 / Zenit-2 second stage,,clearance_p50_m,139.7579,m,"[L0: two-body linear CW, ds-v1]"
1.0,abort_reverify,L0,ds-v1,SL-8 / Kosmos-3M second stage,,n_events,291.0000,count,"[L0: two-body linear CW, ds-v1]"
1.0,abort_reverify,L0,ds-v1,SL-8 / Kosmos-3M second stage,,n_violations,0.0000,count,"[L0: two-body linear CW, ds-v1]"
1.0,abort_reverify,L0,ds-v1,SL-8 / Kosmos-3M second stage,,violation_rate,0.000000,fraction,"[L0: two-body linear CW, ds-v1]"
1.0,abort_reverify,L0,ds-v1,SL-8 / Kosmos-3M second stage,,wilson_low,0.000000,fraction,"[L0: two-body linear CW, ds-v1]"
1.0,abort_reverify,L0,ds-v1,SL-8 / Kosmos-3M second stage,,wilson_high,0.013029,fraction,"[L0: two-body linear CW, ds-v1]"
1.0,abort_reverify,L0,ds-v1,SL-8 / Kosmos-3M second stage,,clearance_floor_m,20.0002,m,"[L0: two-body linear CW, ds-v1]"
1.0,abort_reverify,L0,ds-v1,SL-8 / Kosmos-3M second stage,,clearance_p05_m,26.5835,m,"[L0: two-body linear CW, ds-v1]"
1.0,abort_reverify,L0,ds-v1,SL-8 / Kosmos-3M second stage,,clearance_p50_m,143.9558,m,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-16 / Zenit-2 second stage,A65,coast_min_range_m,220.2879,m,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-16 / Zenit-2 second stage,A65,clears,1.0000,bool,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-16 / Zenit-2 second stage,A81,coast_min_range_m,220.0053,m,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-16 / Zenit-2 second stage,A81,clears,1.0000,bool,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-16 / Zenit-2 second stage,A86,coast_min_range_m,220.0429,m,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-16 / Zenit-2 second stage,A86,clears,1.0000,bool,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-16 / Zenit-2 second stage,A112,coast_min_range_m,220.0102,m,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-16 / Zenit-2 second stage,A112,clears,1.0000,bool,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-16 / Zenit-2 second stage,A340,coast_min_range_m,220.1953,m,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-16 / Zenit-2 second stage,A340,clears,1.0000,bool,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-16 / Zenit-2 second stage,A460,coast_min_range_m,220.1762,m,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-16 / Zenit-2 second stage,A460,clears,1.0000,bool,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-16 / Zenit-2 second stage,A490,coast_min_range_m,220.3237,m,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-16 / Zenit-2 second stage,A490,clears,1.0000,bool,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-8 / Kosmos-3M second stage,B88,coast_min_range_m,220.3699,m,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-8 / Kosmos-3M second stage,B88,clears,1.0000,bool,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-8 / Kosmos-3M second stage,B99,coast_min_range_m,220.0544,m,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-8 / Kosmos-3M second stage,B99,clears,1.0000,bool,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-8 / Kosmos-3M second stage,B160,coast_min_range_m,220.1758,m,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-8 / Kosmos-3M second stage,B160,clears,1.0000,bool,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-8 / Kosmos-3M second stage,B254,coast_min_range_m,225.4615,m,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-8 / Kosmos-3M second stage,B254,clears,1.0000,bool,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-8 / Kosmos-3M second stage,B362,coast_min_range_m,220.4168,m,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-8 / Kosmos-3M second stage,B362,clears,1.0000,bool,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-8 / Kosmos-3M second stage,B383,coast_min_range_m,220.2168,m,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-8 / Kosmos-3M second stage,B383,clears,1.0000,bool,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-8 / Kosmos-3M second stage,B419,coast_min_range_m,220.3780,m,"[L0: two-body linear CW, ds-v1]"
1.0,forensic14,L0,ds-v1,SL-8 / Kosmos-3M second stage,B419,clears,1.0000,bool,"[L0: two-body linear CW, ds-v1]"
1.0,abort_reverify,L1,ds-v1,SL-16 / Zenit-2 second stage,,n_events,292.0000,count,"[L1: two-body+J2, ds-v1]"
1.0,abort_reverify,L1,ds-v1,SL-16 / Zenit-2 second stage,,n_violations,0.0000,count,"[L1: two-body+J2, ds-v1]"
1.0,abort_reverify,L1,ds-v1,SL-16 / Zenit-2 second stage,,violation_rate,0.000000,fraction,"[L1: two-body+J2, ds-v1]"
1.0,abort_reverify,L1,ds-v1,SL-16 / Zenit-2 second stage,,wilson_low,0.000000,fraction,"[L1: two-body+J2, ds-v1]"
1.0,abort_reverify,L1,ds-v1,SL-16 / Zenit-2 second stage,,wilson_high,0.012985,fraction,"[L1: two-body+J2, ds-v1]"
1.0,abort_reverify,L1,ds-v1,SL-16 / Zenit-2 second stage,,clearance_floor_m,19.0070,m,"[L1: two-body+J2, ds-v1]"
1.0,abort_reverify,L1,ds-v1,SL-16 / Zenit-2 second stage,,clearance_p05_m,35.8083,m,"[L1: two-body+J2, ds-v1]"
1.0,abort_reverify,L1,ds-v1,SL-16 / Zenit-2 second stage,,clearance_p50_m,139.2909,m,"[L1: two-body+J2, ds-v1]"
1.0,abort_reverify,L1,ds-v1,SL-8 / Kosmos-3M second stage,,n_events,291.0000,count,"[L1: two-body+J2, ds-v1]"
1.0,abort_reverify,L1,ds-v1,SL-8 / Kosmos-3M second stage,,n_violations,0.0000,count,"[L1: two-body+J2, ds-v1]"
1.0,abort_reverify,L1,ds-v1,SL-8 / Kosmos-3M second stage,,violation_rate,0.000000,fraction,"[L1: two-body+J2, ds-v1]"
1.0,abort_reverify,L1,ds-v1,SL-8 / Kosmos-3M second stage,,wilson_low,0.000000,fraction,"[L1: two-body+J2, ds-v1]"
1.0,abort_reverify,L1,ds-v1,SL-8 / Kosmos-3M second stage,,wilson_high,0.013029,fraction,"[L1: two-body+J2, ds-v1]"
1.0,abort_reverify,L1,ds-v1,SL-8 / Kosmos-3M second stage,,clearance_floor_m,18.8096,m,"[L1: two-body+J2, ds-v1]"
1.0,abort_reverify,L1,ds-v1,SL-8 / Kosmos-3M second stage,,clearance_p05_m,26.2484,m,"[L1: two-body+J2, ds-v1]"
1.0,abort_reverify,L1,ds-v1,SL-8 / Kosmos-3M second stage,,clearance_p50_m,143.0785,m,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-16 / Zenit-2 second stage,A65,coast_min_range_m,219.4876,m,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-16 / Zenit-2 second stage,A65,clears,1.0000,bool,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-16 / Zenit-2 second stage,A81,coast_min_range_m,219.5300,m,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-16 / Zenit-2 second stage,A81,clears,1.0000,bool,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-16 / Zenit-2 second stage,A86,coast_min_range_m,221.5558,m,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-16 / Zenit-2 second stage,A86,clears,1.0000,bool,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-16 / Zenit-2 second stage,A112,coast_min_range_m,221.8714,m,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-16 / Zenit-2 second stage,A112,clears,1.0000,bool,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-16 / Zenit-2 second stage,A340,coast_min_range_m,223.1716,m,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-16 / Zenit-2 second stage,A340,clears,1.0000,bool,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-16 / Zenit-2 second stage,A460,coast_min_range_m,219.4546,m,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-16 / Zenit-2 second stage,A460,clears,1.0000,bool,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-16 / Zenit-2 second stage,A490,coast_min_range_m,219.6226,m,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-16 / Zenit-2 second stage,A490,clears,1.0000,bool,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-8 / Kosmos-3M second stage,B88,coast_min_range_m,219.8577,m,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-8 / Kosmos-3M second stage,B88,clears,1.0000,bool,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-8 / Kosmos-3M second stage,B99,coast_min_range_m,219.7985,m,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-8 / Kosmos-3M second stage,B99,clears,1.0000,bool,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-8 / Kosmos-3M second stage,B160,coast_min_range_m,219.5121,m,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-8 / Kosmos-3M second stage,B160,clears,1.0000,bool,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-8 / Kosmos-3M second stage,B254,coast_min_range_m,225.1436,m,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-8 / Kosmos-3M second stage,B254,clears,1.0000,bool,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-8 / Kosmos-3M second stage,B362,coast_min_range_m,219.5278,m,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-8 / Kosmos-3M second stage,B362,clears,1.0000,bool,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-8 / Kosmos-3M second stage,B383,coast_min_range_m,219.4631,m,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-8 / Kosmos-3M second stage,B383,clears,1.0000,bool,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-8 / Kosmos-3M second stage,B419,coast_min_range_m,222.4611,m,"[L1: two-body+J2, ds-v1]"
1.0,forensic14,L1,ds-v1,SL-8 / Kosmos-3M second stage,B419,clears,1.0000,bool,"[L1: two-body+J2, ds-v1]"
1.0,abort_reverify,L2,ds-v2,SL-16 / Zenit-2 second stage,,n_events,292.0000,count,"[L2: +drag, ds-v2]"
1.0,abort_reverify,L2,ds-v2,SL-16 / Zenit-2 second stage,,n_violations,0.0000,count,"[L2: +drag, ds-v2]"
1.0,abort_reverify,L2,ds-v2,SL-16 / Zenit-2 second stage,,violation_rate,0.000000,fraction,"[L2: +drag, ds-v2]"
1.0,abort_reverify,L2,ds-v2,SL-16 / Zenit-2 second stage,,wilson_low,0.000000,fraction,"[L2: +drag, ds-v2]"
1.0,abort_reverify,L2,ds-v2,SL-16 / Zenit-2 second stage,,wilson_high,0.012985,fraction,"[L2: +drag, ds-v2]"
1.0,abort_reverify,L2,ds-v2,SL-16 / Zenit-2 second stage,,clearance_floor_m,19.0086,m,"[L2: +drag, ds-v2]"
1.0,abort_reverify,L2,ds-v2,SL-16 / Zenit-2 second stage,,clearance_p05_m,35.7539,m,"[L2: +drag, ds-v2]"
1.0,abort_reverify,L2,ds-v2,SL-16 / Zenit-2 second stage,,clearance_p50_m,139.2424,m,"[L2: +drag, ds-v2]"
1.0,abort_reverify,L2,ds-v2,SL-8 / Kosmos-3M second stage,,n_events,291.0000,count,"[L2: +drag, ds-v2]"
1.0,abort_reverify,L2,ds-v2,SL-8 / Kosmos-3M second stage,,n_violations,0.0000,count,"[L2: +drag, ds-v2]"
1.0,abort_reverify,L2,ds-v2,SL-8 / Kosmos-3M second stage,,violation_rate,0.000000,fraction,"[L2: +drag, ds-v2]"
1.0,abort_reverify,L2,ds-v2,SL-8 / Kosmos-3M second stage,,wilson_low,0.000000,fraction,"[L2: +drag, ds-v2]"
1.0,abort_reverify,L2,ds-v2,SL-8 / Kosmos-3M second stage,,wilson_high,0.013029,fraction,"[L2: +drag, ds-v2]"
1.0,abort_reverify,L2,ds-v2,SL-8 / Kosmos-3M second stage,,clearance_floor_m,18.8129,m,"[L2: +drag, ds-v2]"
1.0,abort_reverify,L2,ds-v2,SL-8 / Kosmos-3M second stage,,clearance_p05_m,26.0505,m,"[L2: +drag, ds-v2]"
1.0,abort_reverify,L2,ds-v2,SL-8 / Kosmos-3M second stage,,clearance_p50_m,142.9937,m,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-16 / Zenit-2 second stage,A65,coast_min_range_m,219.4891,m,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-16 / Zenit-2 second stage,A65,clears,1.0000,bool,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-16 / Zenit-2 second stage,A81,coast_min_range_m,219.5314,m,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-16 / Zenit-2 second stage,A81,clears,1.0000,bool,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-16 / Zenit-2 second stage,A86,coast_min_range_m,221.4340,m,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-16 / Zenit-2 second stage,A86,clears,1.0000,bool,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-16 / Zenit-2 second stage,A112,coast_min_range_m,221.7495,m,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-16 / Zenit-2 second stage,A112,clears,1.0000,bool,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-16 / Zenit-2 second stage,A340,coast_min_range_m,223.0415,m,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-16 / Zenit-2 second stage,A340,clears,1.0000,bool,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-16 / Zenit-2 second stage,A460,coast_min_range_m,219.4562,m,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-16 / Zenit-2 second stage,A460,clears,1.0000,bool,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-16 / Zenit-2 second stage,A490,coast_min_range_m,219.6240,m,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-16 / Zenit-2 second stage,A490,clears,1.0000,bool,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-8 / Kosmos-3M second stage,B88,coast_min_range_m,219.8602,m,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-8 / Kosmos-3M second stage,B88,clears,1.0000,bool,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-8 / Kosmos-3M second stage,B99,coast_min_range_m,219.8001,m,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-8 / Kosmos-3M second stage,B99,clears,1.0000,bool,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-8 / Kosmos-3M second stage,B160,coast_min_range_m,219.5149,m,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-8 / Kosmos-3M second stage,B160,clears,1.0000,bool,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-8 / Kosmos-3M second stage,B254,coast_min_range_m,225.1453,m,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-8 / Kosmos-3M second stage,B254,clears,1.0000,bool,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-8 / Kosmos-3M second stage,B362,coast_min_range_m,219.5303,m,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-8 / Kosmos-3M second stage,B362,clears,1.0000,bool,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-8 / Kosmos-3M second stage,B383,coast_min_range_m,219.4660,m,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-8 / Kosmos-3M second stage,B383,clears,1.0000,bool,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-8 / Kosmos-3M second stage,B419,coast_min_range_m,222.2242,m,"[L2: +drag, ds-v2]"
1.0,forensic14,L2,ds-v2,SL-8 / Kosmos-3M second stage,B419,clears,1.0000,bool,"[L2: +drag, ds-v2]"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,standoff_400m/orbit=1,min_range_m,563.9347,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,standoff_400m/orbit=1,erosion_m,0.0000,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,standoff_400m/orbit=2,min_range_m,563.7906,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,standoff_400m/orbit=2,erosion_m,0.1441,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,standoff_400m/orbit=3,min_range_m,563.5108,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,standoff_400m/orbit=3,erosion_m,0.4239,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,standoff_400m/orbit=4,min_range_m,563.0947,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,standoff_400m/orbit=4,erosion_m,0.8400,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,standoff_400m/orbit=5,min_range_m,562.5347,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,standoff_400m/orbit=5,erosion_m,1.4000,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,corridor_300m/orbit=1,min_range_m,422.9539,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,corridor_300m/orbit=1,erosion_m,0.0000,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,corridor_300m/orbit=2,min_range_m,422.8459,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,corridor_300m/orbit=2,erosion_m,0.1081,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,corridor_300m/orbit=3,min_range_m,422.6360,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,corridor_300m/orbit=3,erosion_m,0.3180,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,corridor_300m/orbit=4,min_range_m,422.3239,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,corridor_300m/orbit=4,erosion_m,0.6301,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,corridor_300m/orbit=5,min_range_m,421.9038,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-16 / Zenit-2 second stage,corridor_300m/orbit=5,erosion_m,1.0501,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,standoff_400m/orbit=1,min_range_m,563.9213,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,standoff_400m/orbit=1,erosion_m,0.0000,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,standoff_400m/orbit=2,min_range_m,563.7897,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,standoff_400m/orbit=2,erosion_m,0.1316,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,standoff_400m/orbit=3,min_range_m,563.5249,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,standoff_400m/orbit=3,erosion_m,0.3964,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,standoff_400m/orbit=4,min_range_m,563.1343,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,standoff_400m/orbit=4,erosion_m,0.7869,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,standoff_400m/orbit=5,min_range_m,562.6045,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,standoff_400m/orbit=5,erosion_m,1.3168,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,corridor_300m/orbit=1,min_range_m,422.9439,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,corridor_300m/orbit=1,erosion_m,0.0000,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,corridor_300m/orbit=2,min_range_m,422.8452,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,corridor_300m/orbit=2,erosion_m,0.0987,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,corridor_300m/orbit=3,min_range_m,422.6466,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,corridor_300m/orbit=3,erosion_m,0.2973,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,corridor_300m/orbit=4,min_range_m,422.3536,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,corridor_300m/orbit=4,erosion_m,0.5903,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,corridor_300m/orbit=5,min_range_m,421.9562,m,"[L1: two-body+J2, ds-v1]"
1.0,margin_decay,L1,ds-v1,SL-8 / Kosmos-3M second stage,corridor_300m/orbit=5,erosion_m,0.9877,m,"erosion relative to the orbit=1 baseline at L1; positive = closer approach after repeated orbits"
