schema_version,catalog,mass_kg,altitude_km,inclination_deg,record_type,kit_option,value,value_lo,value_hi,units,notes
1.0,SL-16 / Zenit-2 second stage,9000.0,840.0,71.0,sail_area_25yr,sail,0.0,134.6904,2155.0459,m2,"sail area for the 25-yr IADC guideline (solar max .. solar min); existing area_for_target_years model, see wp3_decay_trade.csv area_for_25yr"
1.0,SL-16 / Zenit-2 second stage,9000.0,840.0,71.0,edt_years,edt,0.0,2.9844,9.1668,years,"[model: EDT-v1 aligned-dipole, capped-current; eta band |cos i|..cos^2 i; libration T7 OPEN - PLACEHOLDER duty factor]"
1.0,SL-16 / Zenit-2 second stage,9000.0,840.0,71.0,edt_eta,edt,0.0,0.105995,0.325568,[-],"eta_lo = cos^2(i) (EMF/collection-limited current), eta_hi = |cos i| (power/current-capped current); wp13-edt-derivation.md Section 5"
1.0,SL-16 / Zenit-2 second stage,9000.0,840.0,71.0,edt_emf_power,edt,150.3125,0.0,300.6250,"V (value); W (value_hi)","value = open-circuit motional EMF at the catalog altitude [V]; value_hi = diagnostic power = emf_v * EdtConfig::avg_current_a [W]; value_lo unused (0.0); not a deorbit-time metric"
1.0,SL-16 / Zenit-2 second stage,9000.0,840.0,71.0,kit_mass,sail,2.4000,2.4000,2.4000,kg,"installed drag-sail kit mass (Config::kit_mass_kg)"
1.0,SL-16 / Zenit-2 second stage,9000.0,840.0,71.0,kit_mass,edt,20.0000,20.0000,20.0000,kg,"installed EDT kit mass, PLACEHOLDER (EdtConfig::kit_mass_kg)"
1.0,SL-16 / Zenit-2 second stage,9000.0,840.0,71.0,deploy_risk,edt,0.0500,0.0500,0.0500,[-],"PLACEHOLDER EDT deployment-failure probability (EdtConfig::deploy_failure_prob); reported only, not applied to the edt_years band above"
1.0,SL-16 / Zenit-2 second stage,9000.0,840.0,71.0,recommended_kit,edt-candidate-open-risks,0.0,0.0,0.0,[-],"sail infeasible (135..2155 m2 for the 25-yr guideline, solar max..min); EDT (band 3.0..9.2 yr) subject to T7; libration (T7, Pelaez et al. 2000) and plasma Ne (PLACEHOLDER solar-min/max pair, wp13-literature.md Topic 3) remain open -- an honest EDT candidate, not a closed recommendation"
1.0,SL-8 / Kosmos-3M second stage,1400.0,750.0,78.0,sail_area_25yr,sail,0.0,7.2046,115.2728,m2,"sail area for the 25-yr IADC guideline (solar max .. solar min); existing area_for_target_years model, see wp3_decay_trade.csv area_for_25yr"
1.0,SL-8 / Kosmos-3M second stage,1400.0,750.0,78.0,edt_years,edt,0.0,0.6291,3.0259,years,"[model: EDT-v1 aligned-dipole, capped-current; eta band |cos i|..cos^2 i; libration T7 OPEN - PLACEHOLDER duty factor]"
1.0,SL-8 / Kosmos-3M second stage,1400.0,750.0,78.0,edt_eta,edt,0.0,0.043227,0.207912,[-],"eta_lo = cos^2(i) (EMF/collection-limited current), eta_hi = |cos i| (power/current-capped current); wp13-edt-derivation.md Section 5"
1.0,SL-8 / Kosmos-3M second stage,1400.0,750.0,78.0,edt_emf_power,edt,100.3007,0.0,200.6013,"V (value); W (value_hi)","value = open-circuit motional EMF at the catalog altitude [V]; value_hi = diagnostic power = emf_v * EdtConfig::avg_current_a [W]; value_lo unused (0.0); not a deorbit-time metric"
1.0,SL-8 / Kosmos-3M second stage,1400.0,750.0,78.0,kit_mass,sail,2.4000,2.4000,2.4000,kg,"installed drag-sail kit mass (Config::kit_mass_kg)"
1.0,SL-8 / Kosmos-3M second stage,1400.0,750.0,78.0,kit_mass,edt,20.0000,20.0000,20.0000,kg,"installed EDT kit mass, PLACEHOLDER (EdtConfig::kit_mass_kg)"
1.0,SL-8 / Kosmos-3M second stage,1400.0,750.0,78.0,deploy_risk,edt,0.0500,0.0500,0.0500,[-],"PLACEHOLDER EDT deployment-failure probability (EdtConfig::deploy_failure_prob); reported only, not applied to the edt_years band above"
1.0,SL-8 / Kosmos-3M second stage,1400.0,750.0,78.0,recommended_kit,sail,0.0,0.0,0.0,[-],"sail closes (7..115 m2 for the 25-yr guideline, solar max..min); no EDT kit needed for this class"
1.0,Envisat-class massive SSO payload,8211.0,780.0,98.4,sail_area_25yr,sail,0.0,61.4390,983.0247,m2,"sail area for the 25-yr IADC guideline (solar max .. solar min); existing area_for_target_years model, see wp3_decay_trade.csv area_for_25yr"
1.0,Envisat-class massive SSO payload,8211.0,780.0,98.4,edt_years,edt,0.0,5.4814,37.5223,years,"[model: EDT-v1 aligned-dipole, capped-current; eta band |cos i|..cos^2 i; libration T7 OPEN - PLACEHOLDER duty factor]"
1.0,Envisat-class massive SSO payload,8211.0,780.0,98.4,edt_eta,edt,0.0,0.021340,0.146083,[-],"eta_lo = cos^2(i) (EMF/collection-limited current), eta_hi = |cos i| (power/current-capped current); wp13-edt-derivation.md Section 5; retrograde (i > 90 deg): the EMF polarity reverses but the induced current always drags (Lenz), so the magnitude |cos i| is used"
1.0,Envisat-class massive SSO payload,8211.0,780.0,98.4,edt_emf_power,edt,69.4450,0.0,138.8899,"V (value); W (value_hi)","value = open-circuit motional EMF at the catalog altitude [V]; value_hi = diagnostic power = emf_v * EdtConfig::avg_current_a [W]; value_lo unused (0.0); not a deorbit-time metric"
1.0,Envisat-class massive SSO payload,8211.0,780.0,98.4,kit_mass,sail,2.4000,2.4000,2.4000,kg,"installed drag-sail kit mass (Config::kit_mass_kg)"
1.0,Envisat-class massive SSO payload,8211.0,780.0,98.4,kit_mass,edt,20.0000,20.0000,20.0000,kg,"installed EDT kit mass, PLACEHOLDER (EdtConfig::kit_mass_kg)"
1.0,Envisat-class massive SSO payload,8211.0,780.0,98.4,deploy_risk,edt,0.0500,0.0500,0.0500,[-],"PLACEHOLDER EDT deployment-failure probability (EdtConfig::deploy_failure_prob); reported only, not applied to the edt_years band above"
1.0,Envisat-class massive SSO payload,8211.0,780.0,98.4,recommended_kit,controlled-reentry-mission-class,0.0,0.0,0.0,[-],"massive (8211 kg) high-inclination payload -- sail/EDT kit-only deorbit is not the recommended mission class; see generated/wp13_classC.md for the controlled-reentry comparison"
