schema_version,catalog,record_type,metric,weighting,cost_scenario,kit_option,estimate,p05,p50,p95,value_lo,value_hi,units,notes
1.0,SL-16 / Zenit-2 second stage,fom,fom,spatial_density,,,156.700654,117.539872,156.700654,156.700781,,,kg_per_CU,debris-risk-reduction per cost; weighting is PLACEHOLDER (T5)
1.0,SL-16 / Zenit-2 second stage,fom,band_weight,spatial_density,,,0.780000,,,,,,normalized,w(h) PLACEHOLDER; cite on fill
1.0,SL-16 / Zenit-2 second stage,fom,fom,criticality,,,200.898275,150.692144,200.898275,200.898438,,,kg_per_CU,debris-risk-reduction per cost; weighting is PLACEHOLDER (T5)
1.0,SL-16 / Zenit-2 second stage,fom,band_weight,criticality,,,1.000000,,,,,,normalized,w(h) PLACEHOLDER; cite on fill
1.0,SL-16 / Zenit-2 second stage,fom,removed_mass_per_mission,,,,36000.000000,,,,,,kg,per mission at baseline N
1.0,SL-16 / Zenit-2 second stage,cost_per_removal_cu,cost_per_removal,,,,,44.798756,44.798792,59.724414,,,CU_per_removal,"baseline N=4 (the Delta-v-limited amortization minimum, generated/wp6_cost_summary.csv record_type=amortization)"
1.0,SL-16 / Zenit-2 second stage,cost_per_removal_musd,cost_per_removal,,low,,2.812513,2.812511,2.812513,3.749558,,,MUSD_per_removal,"= cost_per_removal_CU(catalog=SL-16 / Zenit-2 second stage;baseline N=4) x anchor_musd_per_cu[low]=0.062781 MUSD/CU (generated/wp6_cost_summary.csv record_type=currency_anchor_derived); cross-checked against that same file's own record_type=cost_per_removal_musd row for this catalog/scenario -- consistent to display precision (this tool multiplies by the 6dp-rounded anchor while the wp6 row uses the full-precision anchor, so the last printed digit can differ by rounding path)"
1.0,SL-16 / Zenit-2 second stage,cost_per_removal_musd,cost_per_removal,,mid,,6.924997,6.924992,6.924997,9.232200,,,MUSD_per_removal,"= cost_per_removal_CU(catalog=SL-16 / Zenit-2 second stage;baseline N=4) x anchor_musd_per_cu[mid]=0.154580 MUSD/CU (generated/wp6_cost_summary.csv record_type=currency_anchor_derived); cross-checked against that same file's own record_type=cost_per_removal_musd row for this catalog/scenario -- consistent to display precision (this tool multiplies by the 6dp-rounded anchor while the wp6 row uses the full-precision anchor, so the last printed digit can differ by rounding path)"
1.0,SL-16 / Zenit-2 second stage,cost_per_removal_musd,cost_per_removal,,high,,18.874985,18.874970,18.874985,25.163568,,,MUSD_per_removal,"= cost_per_removal_CU(catalog=SL-16 / Zenit-2 second stage;baseline N=4) x anchor_musd_per_cu[high]=0.421328 MUSD/CU (generated/wp6_cost_summary.csv record_type=currency_anchor_derived); cross-checked against that same file's own record_type=cost_per_removal_musd row for this catalog/scenario -- consistent to display precision (this tool multiplies by the 6dp-rounded anchor while the wp6 row uses the full-precision anchor, so the last printed digit can differ by rounding path)"
1.0,SL-8 / Kosmos-3M second stage,fom,fom,spatial_density,,,31.350916,23.516074,31.350916,31.350940,,,kg_per_CU,debris-risk-reduction per cost; weighting is PLACEHOLDER (T5)
1.0,SL-8 / Kosmos-3M second stage,fom,band_weight,spatial_density,,,1.000000,,,,,,normalized,w(h) PLACEHOLDER; cite on fill
1.0,SL-8 / Kosmos-3M second stage,fom,fom,criticality,,,21.318623,15.990930,21.318623,21.318639,,,kg_per_CU,debris-risk-reduction per cost; weighting is PLACEHOLDER (T5)
1.0,SL-8 / Kosmos-3M second stage,fom,band_weight,criticality,,,0.680000,,,,,,normalized,w(h) PLACEHOLDER; cite on fill
1.0,SL-8 / Kosmos-3M second stage,fom,removed_mass_per_mission,,,,5600.000000,,,,,,kg,per mission at baseline N
1.0,SL-8 / Kosmos-3M second stage,cost_per_removal_cu,cost_per_removal,,,,,44.655758,44.655793,59.533747,,,CU_per_removal,"baseline N=4 (the Delta-v-limited amortization minimum, generated/wp6_cost_summary.csv record_type=amortization)"
1.0,SL-8 / Kosmos-3M second stage,cost_per_removal_musd,cost_per_removal,,low,,2.803535,2.803533,2.803535,3.737588,,,MUSD_per_removal,"= cost_per_removal_CU(catalog=SL-8 / Kosmos-3M second stage;baseline N=4) x anchor_musd_per_cu[low]=0.062781 MUSD/CU (generated/wp6_cost_summary.csv record_type=currency_anchor_derived); NOTE: the anchor itself was derived from catalog A's (SL-16) baseline campaign cost (Sec.10 Method), not this catalog's own -- applying it here assumes the CU->MUSD conversion factor is campaign-structure-invariant across catalogs rather than catalog-specific; a stated simplifying assumption, not a hidden one"
1.0,SL-8 / Kosmos-3M second stage,cost_per_removal_musd,cost_per_removal,,mid,,6.902892,6.902887,6.902892,9.202727,,,MUSD_per_removal,"= cost_per_removal_CU(catalog=SL-8 / Kosmos-3M second stage;baseline N=4) x anchor_musd_per_cu[mid]=0.154580 MUSD/CU (generated/wp6_cost_summary.csv record_type=currency_anchor_derived); NOTE: the anchor itself was derived from catalog A's (SL-16) baseline campaign cost (Sec.10 Method), not this catalog's own -- applying it here assumes the CU->MUSD conversion factor is campaign-structure-invariant across catalogs rather than catalog-specific; a stated simplifying assumption, not a hidden one"
1.0,SL-8 / Kosmos-3M second stage,cost_per_removal_musd,cost_per_removal,,high,,18.814736,18.814721,18.814736,25.083235,,,MUSD_per_removal,"= cost_per_removal_CU(catalog=SL-8 / Kosmos-3M second stage;baseline N=4) x anchor_musd_per_cu[high]=0.421328 MUSD/CU (generated/wp6_cost_summary.csv record_type=currency_anchor_derived); NOTE: the anchor itself was derived from catalog A's (SL-16) baseline campaign cost (Sec.10 Method), not this catalog's own -- applying it here assumes the CU->MUSD conversion factor is campaign-structure-invariant across catalogs rather than catalog-specific; a stated simplifying assumption, not a hidden one"
1.0,Envisat-class massive SSO payload,mission_class,not_kit_ranked,,,,,,,,,,,"Envisat-class massive SSO payload has no WP5/WP6 campaign rows (it is not part of the kit-installer Monte Carlo sweep); FoM and cost_per_removal are undefined for this class in this joined view. It is evaluated instead as a separate controlled-reentry mission class (spec WP13 Class C; see generated/wp13_classC.md), not kit-ranked against SL-16/SL-8."
1.0,SL-16 / Zenit-2 second stage,recommended_kit,,,,edt-candidate-open-risks,,,,,,,,"sail infeasible (135..2155 m2 for the 25-yr guideline, solar max..min); EDT (band 3.0..9.2 yr) subject to T7; libration (T7, Pelaez et al. 2000) and plasma Ne (PLACEHOLDER solar-min/max pair, wp13-literature.md Topic 3) remain open -- an honest EDT candidate, not a closed recommendation"
1.0,SL-16 / Zenit-2 second stage,sail_area_25yr,,,,,,,,,134.6904,2155.0459,m2,"sail area for the 25-yr IADC guideline (solar max .. solar min); existing area_for_target_years model, see wp3_decay_trade.csv area_for_25yr"
1.0,SL-16 / Zenit-2 second stage,edt_years,,,,,,,,,2.9844,9.1668,years,"[model: EDT-v1 aligned-dipole, capped-current; eta band |cos i|..cos^2 i; libration T7 OPEN - PLACEHOLDER duty factor]"
1.0,SL-8 / Kosmos-3M second stage,recommended_kit,,,,sail,,,,,,,,"sail closes (7..115 m2 for the 25-yr guideline, solar max..min); no EDT kit needed for this class"
1.0,SL-8 / Kosmos-3M second stage,sail_area_25yr,,,,,,,,,7.2046,115.2728,m2,"sail area for the 25-yr IADC guideline (solar max .. solar min); existing area_for_target_years model, see wp3_decay_trade.csv area_for_25yr"
1.0,SL-8 / Kosmos-3M second stage,edt_years,,,,,,,,,0.6291,3.0259,years,"[model: EDT-v1 aligned-dipole, capped-current; eta band |cos i|..cos^2 i; libration T7 OPEN - PLACEHOLDER duty factor]"
1.0,Envisat-class massive SSO payload,recommended_kit,,,,controlled-reentry-mission-class,,,,,,,,massive (8211 kg) high-inclination payload -- sail/EDT kit-only deorbit is not the recommended mission class; see generated/wp13_classC.md for the controlled-reentry comparison
1.0,Envisat-class massive SSO payload,sail_area_25yr,,,,,,,,,61.4390,983.0247,m2,"sail area for the 25-yr IADC guideline (solar max .. solar min); existing area_for_target_years model, see wp3_decay_trade.csv area_for_25yr"
1.0,Envisat-class massive SSO payload,edt_years,,,,,,,,,5.4814,37.5223,years,"[model: EDT-v1 aligned-dipole, capped-current; eta band |cos i|..cos^2 i; libration T7 OPEN - PLACEHOLDER duty factor]"
1.0,SL-16 / Zenit-2 second stage,priority_rank,rank,,,,1,,,,,,,mass-dominant FoM under BOTH weightings + McKnight top-20-all-SL-16 citation; see the .md defense paragraph
1.0,SL-8 / Kosmos-3M second stage,priority_rank,rank,,,,2,,,,,,,"cheap closing sail kit, high per-class population; see the .md defense paragraph"
1.0,Envisat-class massive SSO payload,priority_rank,rank,,,not-kit-ranked,,,,,,,,"separate controlled-reentry mission class (spec WP13 Class C), not ranked against the two kit-installer classes above; see the .md defense paragraph"
