schema_version,catalog,master_seed,n_runs,metric,estimate,wilson_low,wilson_high,p05,p50,p95,units,source_runs_csv,notes
1.1,SL-16 / Zenit-2 second stage,6545349696573808678,500,success_rate,0.556000,0.512187,0.598959,0.000000,0.000000,0.000000,fraction,wp5_campaign_runs.csv,"productive end (completed OR kit_exhausted); Wilson 95% CI (z=1.959963984540054)"
1.1,SL-16 / Zenit-2 second stage,6545349696573808678,500,nonproductive_termination_rate,0.444000,0.401041,0.487813,0.000000,0.000000,0.000000,fraction,wp5_campaign_runs.csv,"1 - success_rate: runs ended by dv_exhausted OR keep_out_violation; Wilson 95% CI (z=1.959963984540054)"
1.1,SL-16 / Zenit-2 second stage,6545349696573808678,500,gate_abort_run_rate,0.444000,0.401041,0.487813,0.000000,0.000000,0.000000,fraction,wp5_campaign_runs.csv,"runs with >=1 closing-speed gate abort = abort-path exposure (spec 'abort rate'); Wilson 95% CI (z=1.959963984540054)"
1.1,SL-16 / Zenit-2 second stage,6545349696573808678,500,keep_out_violation_rate,0.000000,0.000000,0.007624,0.000000,0.000000,0.000000,fraction,wp5_campaign_runs.csv,"Wilson 95% CI (z=1.959963984540054); level tag L0, dispersion set ds-v1"
1.1,SL-16 / Zenit-2 second stage,6545349696573808678,500,dv_used_m_per_s,128.798000,0.000000,0.000000,124.000000,124.000000,136.000000,m_per_s,wp5_campaign_runs.csv,"per mission"
1.1,SL-16 / Zenit-2 second stage,6545349696573808678,500,kits_used,3.860000,0.000000,0.000000,3.000000,4.000000,4.000000,count,wp5_campaign_runs.csv,"per mission"
1.1,SL-16 / Zenit-2 second stage,6545349696573808678,500,removals_per_mission,3.860000,0.000000,0.000000,3.000000,4.000000,4.000000,count,wp5_campaign_runs.csv,"per mission"
1.1,SL-16 / Zenit-2 second stage,6545349696573808678,500,sync_arrival_time_s,17.543940,0.000000,0.000000,14.469000,17.680000,20.091000,s,wp5_campaign_runs.csv,"first successful sync per mission; missions with no sync excluded"
1.1,SL-16 / Zenit-2 second stage,6545349696573808678,500,mission_time_s,349430.535580,0.000000,0.000000,348441.457500,349389.920000,349395.942500,s,wp5_campaign_runs.csv,"includes PLACEHOLDER phasing/attach/depart time"
1.1,SL-16 / Zenit-2 second stage,6545349696573808678,500,completed,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,runs,wp5_campaign_runs.csv,"terminal outcome"
1.1,SL-16 / Zenit-2 second stage,6545349696573808678,500,dv_exhausted,222.000000,0.000000,0.000000,0.000000,0.000000,0.000000,runs,wp5_campaign_runs.csv,"terminal outcome"
1.1,SL-16 / Zenit-2 second stage,6545349696573808678,500,kit_exhausted,278.000000,0.000000,0.000000,0.000000,0.000000,0.000000,runs,wp5_campaign_runs.csv,"terminal outcome"
1.1,SL-16 / Zenit-2 second stage,6545349696573808678,500,keep_out_violation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,runs,wp5_campaign_runs.csv,"terminal outcome"
1.1,SL-16 / Zenit-2 second stage,6545349696573808678,500,gate_abort,292.000000,0.000000,0.000000,0.000000,0.000000,0.000000,events,wp5_campaign_runs.csv,"per-target safe-abort events"
1.1,SL-16 / Zenit-2 second stage,6545349696573808678,500,sync_timeout,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,events,wp5_campaign_runs.csv,"per-target failed-sync events"
1.1,SL-16 / Zenit-2 second stage,6545349696573808678,500,other,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,runs,wp5_campaign_runs.csv,"unexpected outcome (should be 0)"
1.1,SL-8 / Kosmos-3M second stage,6545349696573808678,500,success_rate,0.542000,0.498174,0.585185,0.000000,0.000000,0.000000,fraction,wp5_campaign_runs.csv,"productive end (completed OR kit_exhausted); Wilson 95% CI (z=1.959963984540054)"
1.1,SL-8 / Kosmos-3M second stage,6545349696573808678,500,nonproductive_termination_rate,0.458000,0.414815,0.501826,0.000000,0.000000,0.000000,fraction,wp5_campaign_runs.csv,"1 - success_rate: runs ended by dv_exhausted OR keep_out_violation; Wilson 95% CI (z=1.959963984540054)"
1.1,SL-8 / Kosmos-3M second stage,6545349696573808678,500,gate_abort_run_rate,0.458000,0.414815,0.501826,0.000000,0.000000,0.000000,fraction,wp5_campaign_runs.csv,"runs with >=1 closing-speed gate abort = abort-path exposure (spec 'abort rate'); Wilson 95% CI (z=1.959963984540054)"
1.1,SL-8 / Kosmos-3M second stage,6545349696573808678,500,keep_out_violation_rate,0.000000,0.000000,0.007624,0.000000,0.000000,0.000000,fraction,wp5_campaign_runs.csv,"Wilson 95% CI (z=1.959963984540054); level tag L0, dispersion set ds-v1"
1.1,SL-8 / Kosmos-3M second stage,6545349696573808678,500,dv_used_m_per_s,129.000000,0.000000,0.000000,124.000000,124.000000,136.000000,m_per_s,wp5_campaign_runs.csv,"per mission"
1.1,SL-8 / Kosmos-3M second stage,6545349696573808678,500,kits_used,3.876000,0.000000,0.000000,3.000000,4.000000,4.000000,count,wp5_campaign_runs.csv,"per mission"
1.1,SL-8 / Kosmos-3M second stage,6545349696573808678,500,removals_per_mission,3.876000,0.000000,0.000000,3.000000,4.000000,4.000000,count,wp5_campaign_runs.csv,"per mission"
1.1,SL-8 / Kosmos-3M second stage,6545349696573808678,500,sync_arrival_time_s,17.526540,0.000000,0.000000,14.128500,17.720000,20.161000,s,wp5_campaign_runs.csv,"first successful sync per mission; missions with no sync excluded"
1.1,SL-8 / Kosmos-3M second stage,6545349696573808678,500,mission_time_s,349273.262800,0.000000,0.000000,348442.287500,349390.205000,349396.160500,s,wp5_campaign_runs.csv,"includes PLACEHOLDER phasing/attach/depart time"
1.1,SL-8 / Kosmos-3M second stage,6545349696573808678,500,completed,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,runs,wp5_campaign_runs.csv,"terminal outcome"
1.1,SL-8 / Kosmos-3M second stage,6545349696573808678,500,dv_exhausted,229.000000,0.000000,0.000000,0.000000,0.000000,0.000000,runs,wp5_campaign_runs.csv,"terminal outcome"
1.1,SL-8 / Kosmos-3M second stage,6545349696573808678,500,kit_exhausted,271.000000,0.000000,0.000000,0.000000,0.000000,0.000000,runs,wp5_campaign_runs.csv,"terminal outcome"
1.1,SL-8 / Kosmos-3M second stage,6545349696573808678,500,keep_out_violation,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,runs,wp5_campaign_runs.csv,"terminal outcome"
1.1,SL-8 / Kosmos-3M second stage,6545349696573808678,500,gate_abort,291.000000,0.000000,0.000000,0.000000,0.000000,0.000000,events,wp5_campaign_runs.csv,"per-target safe-abort events"
1.1,SL-8 / Kosmos-3M second stage,6545349696573808678,500,sync_timeout,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,events,wp5_campaign_runs.csv,"per-target failed-sync events"
1.1,SL-8 / Kosmos-3M second stage,6545349696573808678,500,other,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,runs,wp5_campaign_runs.csv,"unexpected outcome (should be 0)"
